iter	RMSE
0	3.993754761
1	3.796931171
2	3.609904856
3	3.431317254
4	3.268315939
5	3.107457701
6	2.957185441
7	2.816331024
8	2.683230076
9	2.553426509
10	2.434808585
11	2.321246683
12	2.218134967
13	2.118505294
14	2.022453589
15	1.932552408
16	1.843990364
17	1.766969154
18	1.689676943
19	1.617722185
20	1.549141869
21	1.481695546
22	1.418778261
23	1.362804069
24	1.309702562
25	1.258778101
26	1.21003704
27	1.167511455
28	1.124786522
29	1.086576362
30	1.050356144
31	1.015142578
32	0.982227235
33	0.9518023915
34	0.9239210258
35	0.8982128687
36	0.8732498605
37	0.8504816499
38	0.8277927264
39	0.8075371452
40	0.7878709188
41	0.7698415689
42	0.7529547074
43	0.7381055648
44	0.7237770034
45	0.710260012
46	0.696967282
47	0.6851491692
48	0.6739925537
49	0.6641333385
50	0.6549853457
51	0.6456409156
52	0.6378988815
53	0.6295407647
54	0.6219664129
55	0.6148101405
56	0.6087233005
57	0.6029262773
58	0.5963672802
59	0.5912604786
60	0.5863335944
61	0.5814029881
62	0.5771934814
63	0.5728936992
64	0.5690311682
65	0.564692313
66	0.5616178962
67	0.5582288263
68	0.5551162518
69	0.5520419981
70	0.5492129375
71	0.5461771136
72	0.5432320004
73	0.5406996427
74	0.5381654598
75	0.536172361
76	0.5333350419
77	0.5308331677
78	0.5285661236
79	0.526371667
80	0.5242441797
81	0.5225554906
82	0.5206288982
83	0.5190691502
84	0.5169952762
85	0.5155666584
86	0.5136780816
87	0.5120357422
88	0.5105151828
89	0.5087277625
90	0.5073402262
91	0.5061106559
92	0.5049849205
93	0.503880271
94	0.5019976571
95	0.5007450289
96	0.4993686021
97	0.4977064989
98	0.4963032902
99	0.494867877
100	0.4937216615
101	0.492829449
102	0.4920543205
103	0.4909623684
104	0.4898505666
105	0.4890155551
106	0.4881678935
107	0.4868612907
108	0.4859643356
109	0.4849887955
110	0.4836881775
111	0.4827492483
112	0.4816740336
113	0.4806974571
114	0.4798292469
115	0.4788323754
116	0.4776441076
117	0.4767397755
118	0.4756035671
119	0.4745799534
120	0.4738520419
121	0.4731742341
122	0.4718709951
123	0.4711622997
124	0.4703210332
125	0.4696683309
126	0.4688834162
127	0.4685085218
128	0.4679254377
129	0.4671989177
130	0.4665086059
131	0.4656201929
132	0.4649272066
133	0.4641809273
134	0.4634389045
135	0.4628293147
136	0.4621348489
137	0.4613941741
138	0.4606023759
139	0.4599400089
140	0.4586444862
141	0.4581579462
142	0.4577022861
143	0.457022886
144	0.4562544545
145	0.4557310632
146	0.4551389897
147	0.4546159635
148	0.4538473443
149	0.4530165614
150	0.4525443926
151	0.4515948699
152	0.450524037
153	0.4497880231
154	0.4492127138
155	0.448673184
156	0.4482110134
157	0.4476166119
158	0.4471336946
159	0.4461069401
160	0.4455025326
161	0.4449829464
162	0.4444043854
163	0.443513655
164	0.4426150141
165	0.4422728482
166	0.4418180579
167	0.4411039093
168	0.4405617401
169	0.4399642031
170	0.4394021939
171	0.438373337
172	0.4377019215
173	0.4372744235
174	0.4367639031
175	0.4363633141
176	0.4358560314
177	0.435499896
178	0.4346117557
179	0.4344399826
180	0.4337848199
181	0.433498787
182	0.4331374071
183	0.4326268786
184	0.4324363247
185	0.4319400826
186	0.431470944
187	0.4312407732
188	0.4308962094
189	0.4305751606
190	0.4301790495
191	0.4293059851
192	0.4288204258
193	0.428421626
194	0.4275750061
195	0.4267299049
196	0.4258593302
197	0.4257099367
198	0.4253816896
199	0.4247413384
200	0.4243253737
201	0.4240073838
202	0.4238409335
203	0.4232533743
204	0.4229955353
205	0.422130782
206	0.4218802753
207	0.4212346054
208	0.4209291584
209	0.4207777603
210	0.4199124637
211	0.4197239527
212	0.4191774066
213	0.4189377662
214	0.4187198761
215	0.4184542877
216	0.4182185176
217	0.4180267689
218	0.4179032469
219	0.417660705
220	0.4169840604
221	0.4168946438
222	0.4164489899
223	0.4157634269
224	0.4154341557
225	0.4147027725
226	0.414081
227	0.4135729338
228	0.4128338419
229	0.4123466039
230	0.4121166337
231	0.4115967616
232	0.4114553704
233	0.4106624246
234	0.410204986
235	0.4100301732
236	0.4094529044
237	0.4089307067
238	0.4087761624
239	0.4086687669
240	0.4083013506
241	0.4077317866
242	0.4075699352
243	0.4074213059
244	0.4072453612
245	0.4066558185
246	0.4061794155
247	0.4053562222
248	0.4052046706
249	0.4051330154
250	0.4044660174
251	0.4043957921
252	0.404055553
253	0.4034301261
254	0.4034013329
255	0.4029408326
256	0.4024327286
257	0.4024049396
258	0.4017152071
259	0.4012898988
260	0.4011923989
261	0.4007804629
262	0.4006611583
263	0.4000512954
264	0.3996205888
265	0.3990921156
266	0.3986998508
267	0.3986732174
268	0.3982713283
269	0.3979079892
270	0.3975109255
271	0.3968889927
272	0.3966212224
273	0.3959610865
274	0.3954127599
275	0.3953205962
276	0.3952912425
277	0.3947110333
278	0.39463343
279	0.3942597501
280	0.3942349582
281	0.3939756052
282	0.3937411751
283	0.3934074635
284	0.3928933874
285	0.3923824737
286	0.3922611961
287	0.3918485986
288	0.3912873674
289	0.3908355009
290	0.3903168671
291	0.3900469671
292	0.3896123405
293	0.389519102
294	0.3894937984
295	0.389169324
296	0.3886138688
297	0.3883020936
298	0.388055326
299	0.3880311508
300	0.3879816698
301	0.3877522838
302	0.3872936896
303	0.3868001251
304	0.3865838496
305	0.3862892965
306	0.3861225821
307	0.3857190759
308	0.3853384071
309	0.3851187855
310	0.3848667134
311	0.3844727269
312	0.3840929524
313	0.3837087753
314	0.383315713
315	0.3832439741
316	0.382977137
317	0.3826398832
318	0.382154188
319	0.3820573392
320	0.3815974888
321	0.3811389928
322	0.3809136546
323	0.3806633886
324	0.3806178856
325	0.3804094356
326	0.3799752594
327	0.3798479921
328	0.3796659933
329	0.3794773032
330	0.3794147684
331	0.3789260668
332	0.3785121975
333	0.3780927406
334	0.3776643525
335	0.3775850721
336	0.3770806824
337	0.3768571412
338	0.3764362556
339	0.3761347298
340	0.3757166815
341	0.3753822616
342	0.3751675975
343	0.3750627238
344	0.3746692316
345	0.3743489701
346	0.3743108259
347	0.3738796705
348	0.3736967034
349	0.373405086
350	0.3731826557
351	0.3728242788
352	0.3724882107
353	0.3719384213
354	0.3715471688
355	0.3715099376
356	0.3713141364
357	0.3711383809
358	0.3708503506
359	0.3706399687
360	0.3702406288
361	0.3698539538
362	0.3696807426
363	0.369387789
364	0.3689750417
365	0.3685246048
366	0.3682765277
367	0.3681888908
368	0.368006424
369	0.3677541209
370	0.3675900604
371	0.3673385205
372	0.3670755211
373	0.3667757066
374	0.3667250933
375	0.366465525
376	0.3661912876
377	0.3660624511
378	0.365732855
379	0.3655261179
380	0.3654932533
381	0.3652962008
382	0.3649844119
383	0.3646831345
384	0.3646508591
385	0.3644626312
386	0.3642999501
387	0.3640396118
388	0.3638941692
389	0.3636491287
390	0.3632830769
391	0.3629898551
392	0.3629398552
393	0.3628549577
394	0.3625027183
395	0.3621954368
396	0.3620404998
397	0.361732025
398	0.3617042626
399	0.3615455624
400	0.3612398854
401	0.3609007824
402	0.3606118013
403	0.3605394019
404	0.3604672761
405	0.3604413636
406	0.3601782966
407	0.3599242013
408	0.3595760642
409	0.3592908612
410	0.3592132148
411	0.3589389552
412	0.358677269
413	0.3585237888
414	0.358471481
415	0.3583061509
416	0.3581772732
417	0.358002725
418	0.3578682284
419	0.3576181153
420	0.3574100984
421	0.3571876709
422	0.3568630117
423	0.3565437579
424	0.3565181691
425	0.3562688165
426	0.3562209946
427	0.3561900105
428	0.3558692709
429	0.355618235
430	0.3555017331
431	0.3552700496
432	0.3550479812
433	0.3547757334
434	0.3544976266
435	0.3542675214
436	0.3542279499
437	0.3540068307
438	0.3537986312
439	0.3535753678
440	0.353255509
441	0.3529863298
442	0.3527214604
443	0.3524706972
444	0.3523654224
445	0.3523373914
446	0.3522214062
447	0.3521071851
448	0.3519964234
449	0.3517646917
450	0.3515148391
451	0.3512247877
452	0.350969474
453	0.350748497
454	0.3504885137
455	0.3503530214
456	0.3502506832
457	0.3499481029
458	0.3496974147
