iter	Passed	Remaining
0	2	2946
1	4	2415
2	6	2209
3	8	2111
4	10	2079
5	12	2040
6	14	2020
7	16	2098
8	19	2154
9	22	2184
10	24	2201
11	26	2217
12	29	2237
13	32	2315
14	35	2334
15	37	2297
16	39	2277
17	41	2261
18	43	2233
19	45	2206
20	46	2179
21	49	2216
22	52	2216
23	54	2215
24	56	2217
25	58	2209
26	61	2210
27	63	2220
28	66	2217
29	68	2218
30	70	2214
31	72	2208
32	75	2208
33	77	2204
34	80	2223
35	83	2225
36	85	2226
37	87	2219
38	90	2220
39	92	2224
40	95	2231
41	98	2241
42	100	2244
43	103	2239
44	105	2239
45	107	2239
46	110	2239
47	113	2255
48	116	2257
49	118	2256
50	121	2252
51	123	2251
52	126	2252
53	129	2266
54	132	2268
55	134	2269
56	136	2265
57	139	2258
58	140	2248
59	142	2237
60	145	2238
61	147	2226
62	148	2213
63	150	2202
64	152	2191
65	154	2183
66	156	2175
67	158	2166
68	160	2171
69	162	2161
70	164	2151
71	166	2142
72	167	2132
73	169	2122
74	171	2118
75	173	2112
76	176	2118
77	178	2112
78	180	2103
79	182	2095
80	184	2088
81	185	2080
82	187	2072
83	189	2066
84	192	2069
85	194	2062
86	195	2055
87	197	2049
88	200	2047
89	202	2045
90	204	2039
91	205	2032
92	208	2036
93	210	2029
94	212	2023
95	214	2016
96	215	2009
97	217	2004
98	219	2001
99	223	2008
100	226	2012
101	228	2013
102	231	2017
103	233	2011
104	235	2005
105	237	1999
106	240	2006
107	242	2000
108	243	1994
109	245	1988
110	247	1981
111	249	1978
112	251	1974
113	253	1967
114	256	1971
115	257	1966
116	259	1960
117	261	1954
118	263	1948
119	264	1943
120	266	1938
121	268	1932
122	271	1933
123	273	1930
124	275	1925
125	276	1920
126	279	1918
127	280	1913
128	282	1907
129	284	1902
130	286	1900
131	288	1899
132	290	1894
133	292	1889
134	294	1884
135	295	1878
136	297	1874
137	299	1869
138	301	1865
139	304	1867
140	305	1863
141	307	1859
142	309	1854
143	311	1849
144	312	1845
145	314	1840
146	316	1836
147	319	1837
148	321	1834
149	322	1830
150	324	1825
151	326	1822
152	328	1818
153	330	1814
154	332	1810
155	334	1809
156	336	1807
157	338	1803
158	340	1799
159	341	1795
160	343	1791
161	345	1788
162	347	1784
163	349	1781
164	351	1781
165	353	1777
166	355	1774
167	357	1770
168	359	1767
169	361	1763
170	363	1760
171	365	1758
172	368	1760
173	370	1760
174	373	1759
175	375	1758
176	378	1757
177	380	1757
178	384	1762
179	386	1761
180	388	1757
181	390	1753
182	391	1749
183	393	1746
184	395	1742
185	397	1740
186	400	1739
187	401	1734
188	403	1731
189	405	1728
190	407	1724
191	408	1720
192	410	1717
193	413	1716
194	415	1715
195	418	1715
196	420	1712
197	421	1708
198	423	1705
199	425	1701
200	427	1698
201	429	1695
202	431	1694
203	433	1690
204	435	1687
205	436	1684
206	438	1680
207	440	1678
208	442	1675
209	444	1671
210	447	1671
211	448	1668
212	450	1665
213	452	1661
214	454	1658
215	455	1654
216	457	1651
217	459	1647
218	462	1648
219	463	1645
220	465	1641
221	467	1638
222	469	1634
223	471	1631
224	472	1628
225	474	1625
226	477	1625
227	479	1623
228	481	1621
229	483	1618
230	485	1614
231	487	1612
232	488	1608
233	490	1606
234	493	1605
235	495	1603
236	497	1600
237	498	1597
238	500	1594
239	502	1591
240	504	1590
241	507	1589
242	510	1589
243	512	1588
244	515	1587
245	517	1586
246	520	1585
247	522	1584
248	524	1583
249	526	1580
250	528	1577
251	530	1574
252	532	1571
253	534	1569
254	536	1566
255	537	1563
256	539	1560
257	542	1559
258	544	1556
259	545	1553
260	547	1550
261	549	1546
262	550	1543
263	552	1541
264	554	1538
265	557	1538
266	559	1535
267	561	1532
268	562	1529
269	564	1526
270	566	1523
271	568	1520
272	569	1517
273	572	1517
274	574	1514
275	576	1512
276	578	1509
277	579	1506
278	581	1503
279	583	1500
280	585	1497
281	587	1494
282	589	1492
283	590	1489
284	592	1486
285	594	1484
286	596	1481
287	597	1478
288	599	1475
289	601	1472
290	603	1470
291	605	1467
292	607	1465
293	608	1461
294	610	1458
295	612	1456
296	614	1454
297	616	1451
298	618	1449
299	620	1446
300	621	1443
301	623	1441
302	625	1438
303	627	1435
304	629	1433
305	630	1430
306	633	1429
307	635	1428
308	638	1426
309	639	1423
310	641	1421
311	643	1418
312	645	1415
313	646	1413
314	648	1411
315	651	1409
316	652	1406
317	654	1404
318	656	1402
319	658	1399
320	660	1396
321	662	1394
322	663	1391
323	665	1388
324	667	1387
325	669	1384
326	671	1382
327	673	1379
328	674	1376
329	676	1373
330	678	1371
331	681	1370
332	683	1369
333	685	1367
334	688	1366
335	690	1364
336	692	1362
337	694	1361
338	697	1359
339	699	1358
340	702	1356
341	704	1354
342	706	1353
343	708	1350
344	710	1348
345	711	1345
346	713	1342
347	715	1340
348	717	1338
349	719	1335
350	720	1332
351	722	1330
352	724	1327
353	726	1325
354	728	1322
355	729	1320
356	732	1318
357	733	1316
358	735	1313
359	737	1311
360	739	1308
361	741	1306
362	743	1303
363	744	1301
364	747	1299
365	748	1297
366	750	1294
367	752	1292
368	754	1289
369	756	1287
370	757	1284
371	759	1282
372	761	1279
373	764	1278
374	766	1277
375	768	1274
376	769	1272
377	771	1269
378	773	1267
379	775	1264
380	776	1261
381	778	1260
382	781	1259
383	783	1256
384	784	1253
385	786	1251
386	788	1249
387	790	1246
388	792	1244
389	794	1242
390	796	1240
391	798	1238
392	800	1235
393	801	1233
394	803	1231
395	805	1228
396	807	1226
397	809	1223
398	811	1222
399	813	1220
400	815	1218
401	817	1216
402	819	1214
403	821	1211
404	823	1209
405	824	1206
406	827	1206
407	830	1204
408	831	1201
409	833	1199
410	835	1197
411	837	1194
412	839	1192
413	840	1190
414	843	1189
415	845	1187
416	847	1184
417	849	1182
418	851	1180
419	853	1178
420	856	1177
421	859	1177
422	861	1175
423	864	1173
424	866	1172
425	868	1170
426	871	1169
427	873	1166
428	876	1166
429	878	1164
430	880	1161
431	882	1159
432	883	1157
433	885	1154
434	887	1152
435	889	1150
436	891	1148
437	893	1146
438	895	1144
439	897	1141
440	898	1139
441	900	1137
442	902	1135
443	904	1132
444	907	1132
445	909	1129
446	911	1127
447	912	1124
448	914	1122
449	916	1120
450	920	1120
451	922	1119
452	924	1116
453	926	1114
454	928	1111
455	930	1109
456	932	1107
457	934	1105
458	936	1103
459	939	1102
460	941	1100
461	942	1097
462	944	1095
463	946	1093
464	948	1091
465	950	1088
466	951	1086
467	954	1085
468	956	1082
469	958	1080
470	960	1078
471	961	1075
472	963	1073
473	965	1070
474	966	1068
475	968	1066
476	971	1064
477	972	1062
478	974	1060
479	976	1057
480	978	1055
481	980	1053
